objectid,filename,youtubeid,vimeoid,title,format,description,creator,date,Item_information,subject,longitude,source,identifier,type,language,rights
singer001,aaliyah.png,,,Aaliyah,image/png,Photograph of Aaliyah ,Katrina,4/21/2024,"single-page, photograph",singers,,,,,eng,All rights reserved 
singer002,aliciakeys.jpg,,,Alicia Keys,image/jpg,Photograph of Alicia Keys singing playing a piano,Katrina,4/21/2024,"single-page, photograph",singers,,,,,eng,All rights reserved 
singer003,beyonce.jpg,,,Beyonce,image/jpg,Photograph of Beyonce performing at Coachella in 2018,Katrina,4/21/2024,"single-page, photograph",singers,,,,,eng,All rights reserved 
singer004,jasminesullivan.jpg,,,Jasmine Sullivan,image/jpg,Photograph of Jasmine Sullivan at the BET awards ,Katrina,4/21/2024,"single-page, photograph",singers,,,,,eng,All rights reserved 
singer005,jillscott.png,,,Jill Scott,image/png,Photograph of Jill Scott at the BET awards ,Katrina,4/21/2024,"single-page, photograph",singers,,,,,eng,All rights reserved 
singer006,maryjblige.jpg,,,Mary J. Blige,image/jpg,Photograph of Mary J. Blige,Katrina,4/21/2024,"single-page, photograph",singers,,,,,eng,All rights reserved 
singer007,kellyprice.png,,,Kelly Price,image/png,Photograph of Kelly Price,Katrina,4/21/2024,"single-page, photograph",singers,,,,,eng,All rights reserved 
singer008,tonibraxton.png,,,Toni Braxton,image/png,Photograph of Toni Braxton,Katrina,4/21/2024,"single-page, photograph",singers,,,,,eng,All rights reserved 
singer009,sade.png,,,Sade,image/png,Photograph of Sade,Katrina,4/21/2024,"single-page, photograph",singers,,,,,eng,All rights reserved 
singer010,faithevans.png,,,Faith Evans,image/png,Photograph of Faith Evans,Katrina,4/21/2024,"single-page, photograph",singers,,,,,eng,All rights reserved 
singer011,janetjackson.png,,,Janet Jackson,image/png,Photograph of Janet Jackson,Katrina,4/21/2024,"single-page, photograph",singers,,,,,eng,All rights reserved 
singer012,90sr&bsingers.png,,,90s Female R&B Singers,image/png,Famous female R&B Singers of the 90's,Katrina,4/21/2024,"single-page, photograph",singers,,,,,eng,All rights reserved 
